央视频道,#genre#
CCTV-17,http://122.96.52.98:8006/JS_CUCC/G_CCTV-17-HQ.m3u8?Authinfo=WJEw%2FLGOpXAbDrp8qfrNVybYtYCoULNlZ%2BU1yEXUBpY4y3%2FsnpgbU0WpqKb0KrKe&p=GITV&area=JS_CUCC
CCTV-5+,http://122.96.52.98:8006/JS_CUCC/G_CCTV-5PLUS-CQ.m3u8?Authinfo=WJEw%2FLGOpXAbDrp8qfrNV54x3ZVhpAE%2BHYVoOre4Tuv2YTeVPNc48FsGWUrcYIbw&p=GITV&area=JS_CUCC


CCTV-1,http://115.207.33.107:9999/udp/233.50.200.99:5140
CCTV-1,http://115.207.33.107:9999/udp/233.50.200.143:5140
CCTV-2,http://115.207.33.107:9999/udp/233.50.200.100:5140
CCTV-3,http://115.207.33.107:9999/udp/233.50.200.107:5140
CCTV-4,http://115.207.33.107:9999/udp/233.50.200.101:5140
CCTV-5,http://115.207.33.107:9999/udp/233.50.200.108:5140
CCTV-5+,http://115.207.33.107:9999/udp/233.50.201.220:5140
CCTV-6,http://115.207.33.107:9999/udp/233.50.200.109:5140
CCTV-7,http://115.207.33.107:9999/udp/233.50.200.102:5140
CCTV-8,http://115.207.33.107:9999/udp/233.50.200.110:5140
CCTV-9,http://115.207.33.107:9999/udp/233.50.200.23:5140
CCTV-10,http://115.207.33.107:9999/udp/233.50.200.22:5140
CCTV-11,http://115.207.33.107:9999/udp/233.50.201.11:5140
CCTV-12,http://115.207.33.107:9999/udp/233.50.200.21:5140
CCTV-13,http://115.207.33.107:9999/udp/233.50.200.111:5140
CCTV-14,http://115.207.33.107:9999/udp/233.50.200.103:5140
CCTV-15,http://115.207.33.107:9999/udp/233.50.201.15:5140
CCTV-16,http://115.207.33.107:9999/udp/233.50.200.112:5140
CCTV-16,http://115.207.33.107:9999/udp/233.50.201.192:5140
CCTV-17,http://115.207.33.107:9999/udp/233.50.200.113:5140



扬州频道,#genre#
扬州1台,http://yztv-wshls.homecdn.com/8bb.m3u8?t=1733108569&k=ccd6ee143c9be67abc38548097229425
扬州2台,http://yztv-wshls.homecdn.com/8bd.m3u8?t=1733109008&k=18958a51847b6b4b6e49dfbd63e62707
扬州3台,http://yztv-wshls.homecdn.com/8bf.m3u8?t=1733113402&k=1b91d7cde8139ee7e82694702af0cc82

卫视频道,#genre#
东方卫视,http://ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221225735/index.m3u8
吉林卫视,http://ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221226397/index.m3u8
青海卫视,http://ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221226323/index.m3u8
陕西卫视,http://ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221225625/index.m3u8
湖北卫视,http://ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221226477/index.m3u8
湖南卫视,http://ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221225610/index.m3u8
江西卫视,http://ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221226344/index.m3u8
江苏卫视,http://ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221225613/index.m3u8
广东卫视,http://ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221226248/index.m3u8
海南卫视,http://ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221226465/index.m3u8
兵团卫视,http://mobilelive-timeshift.ysp.cctv.cn/timeshift/ysp/2022606701/timeshift.m3u8?delay=0&cdn=5202
北京卫视,http://ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221225728/index.m3u8
浙江卫视,http://ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221225612/index.m3u8
东南卫视,http://ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221226341/index.m3u8
四川卫视,http://ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221226338/index.m3u8
天津卫视,http://ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221225740/index.m3u8
安徽卫视,http://ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221226391/index.m3u8
山东卫视,http://ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221226456/index.m3u8
河北卫视,http://ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221226406/index.m3u8
河南卫视,http://ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221226480/index.m3u8
深圳卫视,http://ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221225739/index.m3u8
贵州卫视,http://ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221226474/index.m3u8
重庆卫视,http://ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221226409/index.m3u8
内蒙古卫视,http://ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221225634/index.m3u8
山西卫视,http://ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221225624/index.m3u8
西藏卫视,http://ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221225638/index.m3u8
辽宁卫视,http://ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221226254/index.m3u8
黑江卫视,http://ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221226421/index.m3u8
甘肃卫视,http://ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221226522/index.m3u8
宁夏卫视,http://ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221226454/index.m3u8
新疆卫视,http://ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221226460/index.m3u8
康巴卫视,http://ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221225660/index.m3u8
广西卫视,http://ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221226380/index.m3u8
安多卫视,http://ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221225659/index.m3u8
延边卫视,http://ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221226516/index.m3u8


东方卫视,http://122.96.52.98:8006/JS_CUCC/DFWS-HD.m3u8?Authinfo=WJEw%2FLGOpXAbDrp8qfrNV%2BO6hbRJXT8NiWwGGS4RNPoOP7fmtYNYadKMB6wfdw%2B1&p=GITV&area=JS_CUCC
吉林卫视,http://122.96.52.98:8006/JS_CUCC/G_JILIN-CQ.m3u8?Authinfo=WJEw%2FLGOpXAbDrp8qfrNV9Xc00QqSZ3WrJKa5dYLvleBek7%2BBQ9CW5vOGiXZgCD8&p=GITV&area=JS_CUCC
